p3 | MaxLen - | Date of final payment | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Date_Final_Payment[0]
p3 | MaxLen - | Monthly lease/loan amount | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Monthly_Lease_Amount[0]
p3 | MaxLen - | Vehicle make & model [Own] | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].LeaseLoan[0].CB3_06[0]
p3 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].CurrentMarket[0].Current_Market_Value[0]
p3 | MaxLen - | X .8 = $ | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].CurrentMarket[0].Times_8[0]
p3 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].LessLoan[0].Less_Loan_Balance[0]
p3 | MaxLen - | (6c) $ | topmostSubform[0].F433-A-OIC_Page3[0].Vehicle2[0].Total_Value_Vehicle[0]
p3 | MaxLen - | (6d) $ | topmostSubform[0].F433-A-OIC_Page3[0].Total_Value_Vehicles_Attached[0]
p3 | MaxLen - | (6e) $ | topmostSubform[0].F433-A-OIC_Page3[0].Enter_Allowance[0]
p3 | MaxLen - | Total lines (6b), (6d), and (6e) = | topmostSubform[0].F433-A-OIC_Page3[0].Total_Value_Vehicles_Amount[0]
p4 | MaxLen - | Description of asset(s) | topmostSubform[0].F433-A-OIC_Page4[0].Section3[0].OtherAsset1[0].Description[0]
p4 | MaxLen - | Current market value | topmostSubform[0].F433-A-OIC_Page4[0].Section3[0].OtherAsset1[0].CurrentMarketValue[0].Current_Market_Value[0]
p4 | MaxLen - | Minus loan balance | topmostSubform[0].F433-A-OIC_Page4[0].Section3[0].OtherAsset1[0].CurrentMarketValue[0].Times_8[0]
